docking_score,smiles
-7.6,CN(C)C(=O)COc1ccccc1[C@H]1NC(=O)c2ccccc2N1C
-7.6,Cc1cc(C(=O)Nc2ccc3c(c2)OC2(CCCCC2)O3)c2c(C)noc2n1
-7.6,O=C(NCc1ccc2c(c1)CCC2)c1cc(-c2cccnc2)on1
-7.6,C[C@H]1COc2c(C(=O)NC[C@H]3CC[C@H](CC(=O)O)CC3)cccc21
-7.6,NC(=O)c1ccc(C(=O)Nc2cccc(-c3ncco3)c2)nc1Cl
-7.6,O=C(Nc1cccc2cccnc12)N[C@H]1CCO[C@@]2(CCOC2)C1
-7.6,NC(=O)c1cn(CC(=O)N2CCn3cnc(C(F)(F)F)c3C2)c2ccccc12
-7.6,C[C@H](C(=O)NCC1CCCCC1)N1Cc2cccc3c2[C@@H](CCC3)C1
-7.6,COc1cccn2ncc(C(=O)N(C)C[C@H](C)NC(=O)[C@@]34CCCC[C@@H]3C4)c12
-7.6,O=C(Cc1cccc2ccccc12)N1C[C@H](c2ccccc2)[C@@H]2COCC[C@H]21
-7.6,CC(=O)c1ccc(OCC(=O)Nc2nc3c(C(F)(F)F)cccc3s2)cc1
-7.6,Cc1cc(C)cc(CS(=O)(=O)NC(=O)[C@H]2CC2(C)C)c1
-7.6,O=C(Nc1cccc(-c2nc3ccccc3s2)c1)[C@H]1Cc2ccccc2O1
-7.6,COc1ccc(C(C)C)cc1S(=O)(=O)Nc1cnc2ccccc2c1
-7.6,O=C(NCc1ccc2ccoc2c1)c1cccc2[nH]nc(O)c12
-7.6,NC(=O)c1cccc(NC(=O)N2CC(S(=O)(=O)N3CCc4ccccc43)C2)n1
-7.6,N[C@H](CNC(=O)c1cc2ccnc(Cl)c2s1)c1ccccc1
-7.6,Cc1noc2ncnc(NCc3ccc(N4CCC(C)CC4)nc3)c12
-7.6,O=C(NCC(F)(F)F)C1CCN(C(=O)C23CC4CC(CC(C4)C2)C3)CC1
-7.6,Cc1cc(C)n(-c2ccc(C(=O)N[C@@H]3c4ccccc4C[C@@H]3O)cn2)n1
-7.6,O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1cc(C(F)(F)F)ccc1Cl
-7.6,C[C@]1(C(=O)O)CCCN1S(=O)(=O)c1ccc(F)c(C(=O)O)c1F
-7.6,CC(C)(C)c1n[nH]c([C@H]2CN(C(=O)C34C5C6C3C3C4C5C63C(N)=O)CCO2)n1
-7.6,O=C(N[C@@H](c1ccc(F)cc1)[C@H]1CCCO1)N[C@@H]1CCc2n[nH]cc2C1
-7.6,Cn1ncc(C(=O)N[C@@H]2CNCCc3ccccc32)c1Cc1ccccc1
-7.6,O=C(Cc1cc(F)cc(C(F)(F)F)c1)N[C@@H]1CCC[C@H]1c1nn[nH]n1
-7.6,CCCn1ncnc1Cn1c(=O)c(C(F)(F)F)cn(C2CCCC2)c1=O
-7.6,CC(=O)N[C@@H]1CC[C@H](C(F)(F)F)N(Cc2cnc3cnccn23)C1
-7.6,c1ccc(-n2cc(CNCc3cccnc3)c(-c3cccs3)n2)cc1
-7.6,C[C@H](NC(=O)[C@@H]1C[C@]12CCc1ccccc12)c1ccc2c(c1)CCC(=O)N2
-7.6,O=S(=O)(Nc1ccc([C@@H]2CC2(F)F)cc1)c1cnc2[nH]cncc1-2
-7.6,Cc1nnc(Sc2cc(C(F)(F)F)nc3ncnn23)n1N
-7.6,O=C(NC[C@H]1CCNCCC1(F)F)C(=O)N[C@H]1COc2ccc(F)cc21
-7.6,Cc1ccc([C@]2(C)CCN(Cc3ccc4nonc4c3)C2)cc1
-7.6,CCCn1cc(NC(=O)N[C@H]2CC=C(c3ccc(F)cc3)CC2)ccc1=O
-7.6,CCn1c(C)nc2cc(C(=O)N/N=C/c3ccc(C(=O)O)cc3)ccc21
-7.6,Cc1nc([C@H](NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c2ccccc2)n[nH]1
-7.6,Fc1ccc2nc([C@@H]3CCCN(Cc4ncccc4Cl)C3)oc2c1
-7.6,CC(C)(NC(=O)Nc1cccc2c1CCNC2=O)c1nc2ccccc2s1
-7.6,CN(CC(=O)Nc1cccc(Cl)c1Cl)[C@H]1CCCc2ccccc21
-7.6,COC(=O)c1c2nc3ccccc3nc2n2c1[nH]c(=O)c1ccccc12
-7.6,CCn1nc(C(=O)N=c2nc(-c3ccccc3)[nH][nH]2)c2ccccc2c1=O
-7.6,C[C@@H]1CCC[C@H](CN[C@@H]2CCS(=O)(=O)c3ccc(F)cc32)C1
-7.6,C[C@H](NS(=O)(=O)c1ccc2c(c1)OCCCO2)C(=O)N1CCc2ccccc21
-7.6,Cc1ccc(-c2nc(Cn3cnc4ccc(C)cc4c3=O)no2)cc1
-7.6,O=C(NCc1ccccc1N1CCCCC1)[C@@H]1COc2ccccc2C1
-7.6,N[C@H]1CCCCCN(c2nc(C(F)(F)F)nc3[nH]cnc23)C1
-7.6,Cn1c(CN2C(=O)N[C@]3(CCc4ccccc43)C2=O)cc(=O)n(C)c1=O
-7.6,C/C(=N\NC(=O)CN1C(=O)COc2ccccc21)c1cc2cc(Cl)ccc2o1
-7.6,O=C(Nc1nc2ccccc2[nH]1)c1cc(F)c(F)cc1Cl
-7.6,C[C@@]1(c2ccc3c(c2)CCC3)NC(=O)N(CN2CCc3ccccc3C2)C1=O
-7.6,O=C(c1cnc2ccccn2c1=O)N1CC=C(c2c[nH]c3ncccc23)CC1
-7.6,Cc1c([N+](=O)[O-])cccc1S(=O)(=O)N[C@H]1CCCS(=O)(=O)C1
-7.6,C[C@@H]1C[C@H](N2CCCC2)CN1C(=O)N=c1cc2ccccn2[nH]1
-7.6,O=C(NC[C@H]1CC2(CCNCC2)C(=O)O1)c1nc[nH]c2nccc1-2
-7.6,Cc1ccc([C@]23C[C@H]2CN(C(=O)c2ccc(-c4cncnc4)cc2F)C3)cc1
-7.6,COc1ccccc1[C@@H](CNC(=O)C1=NN(C)C(=O)CC1)N1CCCCC1
-7.6,C[C@H](N[C@H](C)c1nnc(-c2ccccc2)o1)c1ccc(F)cc1
-7.6,O=C(NCCc1ccc2ccccc2c1)N[C@H]1COc2ccccc2[C@@H]1O
-7.6,C[C@]1(CC(=O)N2CCC(c3ncc(-c4ccc(F)cc4)[nH]3)CC2)CCCO1
-7.6,N=c1[nH]c(C2CC2)ncc1-c1noc([C@H]2CCNc3ccccc32)n1
-7.6,Cc1noc(C)c1CN=c1[nH]nc([C@H]2Cc3ccccc3O2)o1
